#{"t_start": 1659169293.6415381, "env_id": null}
r,l,t,taskid,success
-20.0,20,47.881614,,0
-20.0,20,47.881698,,0
-20.0,20,47.881728,,0
-20.0,20,47.881752,,0
-20.0,20,136.470114,,0
-20.0,20,136.470184,,0
-19.0,20,136.470212,,1
-20.0,20,136.470236,,0
-20.0,20,220.688366,,0
-20.0,20,220.688444,,0
-20.0,20,220.688474,,0
-20.0,20,220.688498,,0
-20.0,20,286.872467,,0
-20.0,20,286.872626,,0
-20.0,20,286.872658,,0
-20.0,20,286.872683,,0
-20.0,20,387.924967,,0
-20.0,20,387.925072,,0
-20.0,20,387.925103,,0
-20.0,20,387.925132,,0
-20.0,20,430.836556,,0
-20.0,20,430.836636,,0
-20.0,20,430.836668,,0
-20.0,20,430.836693,,0
-20.0,20,485.028402,,0
-20.0,20,485.028487,,0
-20.0,20,485.028516,,0
-20.0,20,485.02854,,0
