#{"t_start": 1653729806.5974, "env_id": null}
r,l,t,taskid,success
0.0,1,6.435497,5,1
-0.9397399,2,6.627636,8,1
-0.9086604,2,6.627719,9,1
-18.550297,20,7.556041,0,0
-19.934706,20,7.556122,1,0
-19.990664,20,7.556153,2,0
-19.28107,20,7.556179,3,0
-18.490938,20,7.556205,4,0
-17.734423,20,7.556229,6,0
-19.988035,20,7.556254,7,0
-20.0,20,7.662935,5,0
-19.027473,20,7.804107,8,0
-19.76235,20,7.804185,9,0
-19.418665,20,8.897075,0,0
-19.982971,20,8.897192,1,0
-19.993267,20,8.89723,2,0
-19.106678,20,8.897259,3,0
-18.466072,20,8.897287,4,0
-18.726686,20,8.897316,6,0
-19.991402,20,8.897344,7,0
-20.0,20,9.010106,5,0
-19.128227,20,9.163567,8,0
-19.527369,20,9.16365,9,0
-3.6844041,5,9.726766,9,1
-7.8421125,10,9.977224,3,1
-18.106512,20,10.450603,0,0
-19.980219,20,10.450685,1,0
-19.99035,20,10.450722,2,0
-18.099834,20,10.450751,4,0
-19.143559,20,10.450778,6,0
-19.988214,20,10.450805,7,0
-20.0,20,10.542958,5,0
-19.44956,20,10.641319,8,0
-0.94873995,2,10.885341,8,1
-18.073074,20,11.124972,9,0
-15.333375,20,11.263026,3,0
-19.157383,20,11.84547,0,0
-19.973185,20,11.845555,1,0
-19.975286,20,11.845586,2,0
-18.55014,20,11.845612,4,0
-18.908237,20,11.845638,6,0
-19.995066,20,11.845663,7,0
-20.0,20,11.945595,5,0
-19.37075,20,12.245852,8,0
-19.812725,20,12.457047,9,0
-19.249496,20,12.699555,3,0
-3.6080072,5,12.892915,9,1
-18.53458,20,13.226134,0,0
-19.973118,20,13.226213,1,0
-19.988111,20,13.226246,2,0
-18.449398,20,13.226276,4,0
-18.139582,20,13.226304,6,0
-19.924637,20,13.226332,7,0
-20.0,20,13.336482,5,0
0.0,1,13.442359,5,1
-19.421694,20,13.622858,8,0
-18.139477,20,13.86612,3,0
-18.202345,20,14.017085,9,0
-19.105776,20,14.349989,0,0
-19.980766,20,14.350079,1,0
-19.987017,20,14.350112,2,0
-17.926302,20,14.35014,4,0
-18.603197,20,14.350167,6,0
-19.976034,20,14.350193,7,0
-20.0,20,14.602262,5,0
-19.184492,20,14.802677,8,0
-2.891852,4,15.233103,8,1
-17.571796,20,15.393113,3,0
-18.292595,20,15.55851,9,0
-18.40346,20,15.912736,0,0
-19.933224,20,15.912831,1,0
-19.992922,20,15.912866,2,0
-18.092989,20,15.912896,4,0
-19.370205,20,15.912926,6,0
-19.980703,20,15.912955,7,0
-20.0,20,16.084867,5,0
-19.570105,20,16.595759,8,0
-19.16787,20,16.724222,3,0
-18.23955,20,16.925618,9,0
-18.506208,20,17.489146,0,0
-19.9859,20,17.489236,1,0
-19.991632,20,17.489272,2,0
-18.172152,20,17.489303,4,0
-19.135185,20,17.489331,6,0
-19.990236,20,17.489359,7,0
-20.0,20,17.701884,5,0
-0.9576928,2,17.923952,5,1
-19.325567,20,18.218225,8,0
-18.045736,20,18.323129,3,0
-1.9166226,3,18.433442,8,1
-18.176405,20,18.506042,9,0
-18.825768,20,18.937206,0,0
-19.982729,20,18.937288,1,0
-19.982687,20,18.937326,2,0
-18.204605,20,18.937358,4,0
-19.113062,20,18.937389,6,0
-19.9889,20,18.937419,7,0
-19.999998,20,19.286255,5,0
-19.188158,20,19.719047,3,0
-18.95371,20,19.778147,8,0
-19.899506,20,19.86274,9,0
-19.258211,20,20.633445,0,0
-19.97605,20,20.63353,1,0
-19.987196,20,20.633561,2,0
-18.466375,20,20.633587,4,0
-16.974422,20,20.633612,6,0
-19.983093,20,20.633637,7,0
-19.99905,20,20.98405,5,0
0.0,1,21.095472,5,1
0.0,1,21.173323,5,1
0.0,1,21.261798,5,1
0.0,1,21.381945,5,1
-10.61063,20,21.543509,3,0
-19.477085,20,21.664775,8,0
-19.783195,20,21.81084,9,0
-19.4998,20,22.315505,0,0
-19.979132,20,22.3156,1,0
-19.985903,20,22.315635,2,0
-18.49145,20,22.315666,4,0
-15.400908,20,22.315694,6,0
-19.979197,20,22.315723,7,0
-20.0,20,22.987418,5,0
-19.091282,20,23.078621,3,0
-19.499887,20,23.155191,8,0
-19.735418,20,23.230054,9,0
-19.25063,20,23.838674,0,0
-19.9605,20,23.838756,1,0
-19.99016,20,23.83879,2,0
-18.436699,20,23.838818,4,0
-18.382063,20,23.838847,6,0
-19.9713,20,23.838874,7,0
-20.0,20,24.509072,5,0
-19.140385,20,24.659005,3,0
-19.395525,20,24.762095,8,0
-18.471933,20,24.885473,9,0
-18.712395,20,25.32645,0,0
-19.978329,20,25.326533,1,0
-19.989838,20,25.326564,2,0
-17.64984,20,25.326591,4,0
-18.183075,20,25.326616,6,0
-19.978241,20,25.326641,7,0
-3.2339957,5,25.811906,4,1
-20.0,20,26.010742,5,0
-19.069752,20,26.147077,3,0
-19.166174,20,26.238357,8,0
-19.020958,20,26.338569,9,0
-19.157368,20,26.732391,0,0
-19.93799,20,26.732476,1,0
-19.999737,20,26.732506,2,0
-16.50199,20,26.732534,6,0
-19.978523,20,26.732558,7,0
-18.58563,20,27.097578,4,0
-20.0,20,27.2418,5,0
0.0,1,27.321876,5,1
-19.090717,20,27.407755,3,0
0.0,1,27.407837,5,1
-18.953474,20,27.479786,8,0
-19.942886,20,27.560036,9,0
-5.0,6,27.878389,5,1
-15.98669,20,28.093089,0,0
-19.975456,20,28.093172,1,0
-19.999805,20,28.093204,2,0
-19.27402,20,28.093231,6,0
-19.990892,20,28.093257,7,0
-18.32138,20,28.489171,4,0
-18.542677,20,28.849886,3,0
-19.412113,20,28.90918,8,0
-19.995604,20,28.96249,9,0
-20.0,20,29.257096,5,0
-19.46559,20,29.425984,0,0
-19.970165,20,29.426078,1,0
-19.993494,20,29.426111,2,0
-18.92353,20,29.426139,6,0
-19.985565,20,29.426165,7,0
-18.310482,20,29.853559,4,0
-19.055573,20,30.094739,3,0
-19.061876,20,30.171652,8,0
-18.45724,20,30.261324,9,0
-20.0,20,30.630782,5,0
-2.8107255,4,30.630862,9,1
-19.204844,20,31.01789,0,0
-19.979702,20,31.017964,1,0
-19.984919,20,31.017992,2,0
-13.444462,20,31.018017,6,0
-19.975985,20,31.01804,7,0
-18.553106,20,31.476766,4,0
-18.768888,20,31.904706,3,0
-19.476362,20,31.98661,8,0
-19.973505,20,32.329503,5,0
-18.127764,20,32.329579,9,0
0.0,1,32.424764,5,1
0.0,1,32.552439,5,1
-0.90720737,2,32.552513,9,1
-18.578098,20,32.757073,0,0
-19.96388,20,32.757148,1,0
-19.992275,20,32.757178,2,0
-18.613667,20,32.757204,6,0
-19.991003,20,32.757227,7,0
-18.239792,20,33.247893,4,0
-19.297937,20,33.62988,3,0
-19.213825,20,33.723255,8,0
-20.0,20,34.052218,5,0
-19.880632,20,34.052296,9,0
0.0,1,34.157174,5,1
-17.206985,20,34.239691,0,0
-19.973244,20,34.239772,1,0
-19.993473,20,34.239805,2,0
-19.354048,20,34.239846,6,0
-19.975595,20,34.239872,7,0
-18.241413,20,34.698319,4,0
-19.13831,20,35.118804,3,0
-19.473652,20,35.192644,8,0
-18.191025,20,35.47917,9,0
-20.0,20,35.55206,5,0
-11.07959,20,35.642618,0,0
-19.954351,20,35.642692,1,0
-19.975939,20,35.642721,2,0
-16.185225,20,35.642748,6,0
-19.940218,20,35.642772,7,0
-18.348667,20,36.082468,4,0
-19.268145,20,36.33064,3,0
-19.154093,20,36.406661,8,0
-19.449963,20,36.916184,9,0
-20.0,20,37.007901,5,0
-18.2218,20,37.113745,0,0
-19.987116,20,37.11382,1,0
-19.994616,20,37.113849,2,0
-17.585703,20,37.113874,6,0
-19.985298,20,37.113897,7,0
-18.51332,20,37.52949,4,0
-17.290619,20,37.712534,3,0
-19.136536,20,37.782026,8,0
-19.949314,20,38.080376,9,0
-20.0,20,38.151478,5,0
-19.658716,20,38.222102,0,0
-19.978258,20,38.222178,1,0
-19.989876,20,38.222207,2,0
-16.78799,20,38.222232,6,0
-19.982676,20,38.222255,7,0
-18.509428,20,38.618292,4,0
-19.311493,20,38.793241,3,0
-19.35465,20,38.866425,8,0
-18.099348,20,39.377108,9,0
-20.0,20,39.433579,5,0
-19.407473,20,39.53012,0,0
-19.975119,20,39.530188,1,0
-19.992527,20,39.530217,2,0
0.0,1,39.530242,5,1
-18.586296,20,39.530264,6,0
-19.991837,20,39.530287,7,0
-1.0,2,39.746862,5,1
-18.560402,20,40.010052,4,0
-4.0,5,40.208456,5,1
-2.2577815,4,40.383655,4,1
-18.921164,20,40.504427,3,0
-19.36387,20,40.590078,8,0
-4.0,5,40.723887,5,1
-18.261967,20,41.243744,9,0
-18.325466,20,41.440774,0,0
-19.972286,20,41.440853,1,0
-19.996422,20,41.440884,2,0
-19.235931,20,41.440911,6,0
