#{"t_start": 1653844795.1450188, "env_id": null}
r,l,t,taskid,success
-1.0,2,10.530484,5,1
-2.0,3,11.506001,5,1
-0.9998505,2,13.221391,5,1
0.0,1,14.02932,5,1
-4.6100173,6,14.029409,9,1
-9.441028,11,17.559593,8,1
-14.2479105,16,20.950659,8,1
-16.244547,20,23.597291,0,0
-16.117311,20,23.597371,0,1
-17.655642,20,23.597409,0,0
-18.588446,20,23.597436,0,0
-19.982311,20,23.597462,1,0
-19.970396,20,23.597488,1,0
-19.93076,20,23.597512,1,0
-19.93853,20,23.597536,1,0
-19.931412,20,23.59756,1,0
-19.976803,20,23.597584,1,0
-19.94786,20,23.597608,1,0
-19.903131,20,23.597631,1,0
-19.94638,20,23.597655,1,0
-19.975634,20,23.597678,1,0
-19.98135,20,23.597702,1,0
-19.985691,20,23.597729,2,0
-19.991358,20,23.597753,2,0
-19.97789,20,23.597777,2,0
-19.98129,20,23.597801,2,0
-19.992504,20,23.597825,2,0
-19.9771,20,23.597849,2,0
-19.992102,20,23.597873,2,0
-19.986994,20,23.597896,2,0
-19.981846,20,23.59792,2,0
-19.986029,20,23.597944,2,0
-19.979511,20,23.597967,2,0
-19.985174,20,23.597991,2,0
-19.987251,20,23.598015,2,0
-19.983912,20,23.598044,2,0
-19.97022,20,23.598067,2,0
-18.375084,20,23.598091,3,0
-18.462145,20,23.598115,3,0
-18.995806,20,23.598138,3,0
-18.213408,20,23.598162,4,0
-20.0,20,23.598187,5,0
-18.34272,20,23.598212,6,0
-17.139631,20,23.59824,6,0
-18.30954,20,23.598264,6,0
-19.971273,20,23.598289,7,0
-19.98878,20,23.598314,7,0
-19.989988,20,23.598339,7,0
-19.986248,20,23.598366,7,0
-19.971104,20,23.598391,7,0
-19.989548,20,23.598416,7,0
-19.989653,20,23.598441,7,0
-19.988207,20,23.598466,7,0
-19.984646,20,23.59849,7,0
-19.985453,20,23.598515,7,0
-19.979645,20,23.59854,7,0
-19.985065,20,23.598564,7,0
-19.98107,20,23.598589,7,0
-19.970217,20,23.598614,7,0
-19.99285,20,23.598639,7,0
-19.015186,20,23.598664,8,0
-16.243486,20,23.598693,9,0
-18.056541,20,23.598718,9,0
0.0,1,24.573317,5,1
-20.0,20,25.60384,5,0
-19.999998,20,29.072024,5,0
-19.77289,20,29.072119,9,0
-0.8476498,2,30.679832,9,1
-1.9765246,3,31.444616,5,1
-0.901764,2,32.198267,9,1
-18.440018,20,32.871772,8,0
-18.965958,20,36.049426,8,0
-6.5123997,8,37.279559,9,1
-18.797813,20,38.678816,0,0
-17.470264,20,38.678902,0,0
-14.588553,20,38.678939,0,0
-17.598808,20,38.678971,0,0
